R	400,300
x : 0.750000	 y : 0.000000	 z : -1.666667
x : 0.812500	 y : 0.000000	 z : -1.666667
x : 0.895833	 y : 0.000000	 z : -1.666667
x : 1.041667	 y : 0.000000	 z : -1.666667
x : 1.062500	 y : 0.000000	 z : -1.666667
x : 1.145833	 y : 0.000000	 z : -1.666667
x : 1.208333	 y : 0.000000	 z : -1.666667
x : 1.229167	 y : 0.000000	 z : -1.666667
x : 1.312500	 y : 0.000000	 z : -1.666667
x : 1.416667	 y : 0.000000	 z : -1.666667
x : 1.437500	 y : 0.000000	 z : -1.666667
x : 1.625000	 y : 0.000000	 z : -1.666667
x : 1.666667	 y : 0.000000	 z : -1.666667
x : 1.687500	 y : 0.000000	 z : -1.666667
x : 1.812500	 y : 0.000000	 z : -1.666667
x : 1.895833	 y : 0.000000	 z : -1.666667
x : 0.224490	 y : 0.000000	 z : -1.836735
x : 0.428571	 y : 0.000000	 z : -1.836735
x : 0.469388	 y : 0.000000	 z : -1.836735
x : 0.530612	 y : 0.000000	 z : -1.836735
x : 0.673469	 y : 0.000000	 z : -1.836735
x : 0.857143	 y : 0.000000	 z : -1.836735
x : 0.877551	 y : 0.000000	 z : -1.836735
x : 1.000000	 y : 0.000000	 z : -1.836735
x : 1.142857	 y : 0.000000	 z : -1.836735
x : 1.204082	 y : 0.000000	 z : -1.836735
x : 1.285714	 y : 0.000000	 z : -1.836735
x : 1.326531	 y : 0.000000	 z : -1.836735
x : 1.346939	 y : 0.000000	 z : -1.836735
x : 1.367347	 y : 0.000000	 z : -1.836735
x : 1.408163	 y : 0.000000	 z : -1.836735
x : 1.469388	 y : 0.000000	 z : -1.836735
x : 1.775510	 y : 0.000000	 z : -1.836735
x : 1.795918	 y : 0.000000	 z : -1.836735
x : 1.897959	 y : 0.000000	 z : -1.836735
x : 1.938776	 y : 0.000000	 z : -1.836735
x : 1.979592	 y : 0.000000	 z : -1.836735
x : 1.100000	 y : 0.000000	 z : -2.000000
x : 1.294118	 y : 0.000000	 z : -2.156863
x : 1.313725	 y : 0.000000	 z : -2.156863
x : 1.450980	 y : 0.000000	 z : -2.156863
x : 1.529412	 y : 0.000000	 z : -2.156863
x : 1.568627	 y : 0.000000	 z : -2.156863
x : 1.686275	 y : 0.000000	 z : -2.156863
x : 1.843137	 y : 0.000000	 z : -2.156863
x : 1.901961	 y : 0.000000	 z : -2.156863
x : 1.941176	 y : 0.000000	 z : -2.156863
x : 1.188679	 y : 0.000000	 z : -2.452830
x : 0.925926	 y : 0.000000	 z : -2.592593
x : 1.092593	 y : 0.000000	 z : -2.592593
x : 0.254545	 y : 0.000000	 z : -2.727273
x : 1.400000	 y : 0.000000	 z : -2.727273
